batch_size,cpu_time,cpu_throughput,gpu_time,gpu_throughput,speedup,vram_mb,ttl_enabled,timestamp
512,0.07620062199998756,2015731.5776244593,0.01240600899996025,12381096.934597755,6.142234944391199,0.5654296875,True,2026-06-06T14:43:18.207831
2048,0.2514113649999672,2443803.604503242,0.012714467000023433,48322906.496895835,19.77364564314838,2.2587890625,True,2026-06-06T14:43:18.473859
8192,1.2524674579999555,1962206.6699637056,0.036600064000140264,67147423.56708944,34.22036251070915,9.0322265625,True,2026-06-06T14:43:19.765014
